123PRODUCT INC |123product inc|ROUGH KIDS HOUSE|ROUGH HOUSE|ROUGH HOUSE PICTURES INC.|88541204|88752574|x|2022-02-15
123PRODUCT INC |123product inc|ROUGH KIDS HOUSE|ROUGH HOUSE|ROUGH HOUSE PICTURES INC.|88541204|88752604|x|2022-02-15
BENJAMIN KAFKA ESQ. |124 Delta Inc.|MAMMA MIA A GOGO|GOGO|Calderco Holdings Group LLC|88189214|88398067|x|2022-02-15
Bernstein Shur Sawyer & Nelson |2 Scoops LLC|2SCOOPS I SCREAM!|AUTHENTIC TWO SCOOPS CREAMERY HOMEMADE ICE CREAM|Two Scoops Creamery LLC|85843890|90248443|x|2022-02-15
SONIA FARBER LAW PLLC |3rd Ritual|3RD RITUAL|RITUAL|Ritual San Francisco Inc.|88307130|88749647|x|2022-02-15
SONIA FARBER LAW PLLC |3rd Ritual|3RD RITUAL|RITUAL HOT YOGA|Ritual San Francisco Inc.|88307130|88749648|x|2022-02-15
PATTISHALL MCAULIFFE NEWBURY HILLIARD & GERALDSON |3W Associates|S|S|SyncFab Co.|87578203|90029822|x|2022-02-15
DOWNS RACHLIN MARTIN PLLC |4086864 Canada Inc.|SR2|SR2|Team SR2 LLC|87156344|90441610|x|2022-02-15
INNOVATION PARTNERS |67 Supplements LLC|67SUPPLEMENTS|SUPLMNT|MOTOCAN PRODUCTS INC.|88893922|90385899|x|2022-02-15
IPLA LLP |8th Wall Inc.|8|8|WeAre8 Inc.|87715551|88258912|x|2022-02-15
ABEL MARY BETH |Abel Mary Beth|ABEL|JA JONATHAN ABEL|Jonathan Abel Pte. Ltd.|85665101|90108542|x|2022-02-15
ABEL MARY BETH |Abel Mary Beth|ABEL|JA JONATHAN ABEL|Jonathan Abel Pte. Ltd.|85676141|90108542|x|2022-02-15
ABEL MARY BETH |Abel Mary Beth|ABEL|JONATHAN ABEL|Jonathan Abel Pte. Ltd.|85665101|90108524|x|2022-02-15
ABEL MARY BETH |Abel Mary Beth|ABEL|JONATHAN ABEL|Jonathan Abel Pte. Ltd.|85676141|90108524|x|2022-02-15
ABIALE LTD |ABIALE LTD|TURQUOISE|TURQUOISE COUTURE|Administration LVER Inc.|86048770|87564241|x|2022-02-15
MUSICK DAVISON LLP |Able Diagnostics Inc.|VIVAGUARD|VIVAGUARD|VivaChek Biotech (Hangzhou) Co. Ltd.|87651114|79313858|x|2022-02-15
Katten Muchin Rosenman LLP |AC Controls Company Inc.|ACC|ACC|AUTOMOTIVE CELLS COMPANY SE|73286909|79303637|x|2022-02-15
RICK WEISBERG |Accelerated Technology Laboratories Inc.|ATL TITAN|TITAN|ATEME|77903292|79126700|x|2022-02-15
Rick Weisberg |Accelerated Technology Laboratories Inc.|TITAN|TITAN|ATEME|77903295|79126700|x|2022-02-15
Sideman & Bancroft LLP |ACCENTURE GLOBAL SOLUTIONS LIMITED|FIRE|FIRE TV RECAST|AMAZON TECHNOLOGIES INC.|85045348|88212273|x|2022-02-15
Branfman Mayfield Bustarde Reichenthal LLP |Ace Parking Management Inc.|SPACE|SPACEOS|SpaceOS Limited|86348321|90052039|x|2022-02-15
Johnson & Johnson |Actelion Pharmaceuticals Ltd|FSIQ-RMS|FSIQ|MIS Quality Management Corp.|79129309|90507757|x|2022-02-15
PATTISHALL MCAULIFFE NEWBURY HILLIARD & GERALDSON |Aculocity LLC|DOMINATE YOUR DATA|DOMINATE WITH DATA|John B Coker|86461196|90399981|x|2022-02-15
Patent Law Works LLP |Adaptive Biotechnologies Corporation|AMPLIFY DISCOVERY|AMPLIFY|Decibel Therapeutics Inc.|86459428|90392528|x|2022-02-15
Patent Law Works LLP |Adaptive Biotechnologies Corporation|AMPLIFY DISCOVERY|AMPLIFY|Decibel Therapeutics Inc.|86459428|90392583|x|2022-02-15
ADAPTIVE LLC |Adaptive LLC|SOFTWAREQ|SOFTWAREQ|SOFTWAREQ SDN. BHD.|86271061|90559171|x|2022-02-15
NOTARO MICHALOS & ZACCARIA P.C. |ADIDAS AG|IMPACT|IMPACTO|Impacto Protective Products Inc.|87301357|87430666|x|2022-02-15
STITES & HARBISON |ADVANCED FITNESS & WELLNESS LLC|BANDIT|BANDIT|Fitness Anywhere LLC|85131932|90078548|x|2022-02-15
GENTRY LOCKE RAKES & MOORE LLP |Advanced Logic Industries Inc.|FLXSTORE|FLEXYSTORE W|WHATEVER S.A|87308743|90282046|x|2022-02-15
AMIN TALATI & WASSERMAN LLP |Advanced Orthomolecular Research Inc.|AOR|AN ORGANIC REVOLUTION A.Ø.R.|KFY Limited|87881917|90019412|x|2022-02-15
AMIN TALATI & WASSERMAN LLP |Advanced Orthomolecular Research Inc.|AOR|AN ORGANIC REVOLUTION HIGH PERFORMANCE ORGANIC SKINCARE A.Ø.R|KFY Limited|87881917|88958976|x|2022-02-15
Advanta Marketing LLC |Advanta Marketing LLC|ADVANTA IRA|ADVANTA|ADVANTA GLOBAL SERVICES LTD|85434962|79296463|x|2022-02-15
ADVANTA MARKETING LLC |Advanta Marketing LLC|THE ADVANTA IRA|ADVANTA|ADVANTA GLOBAL SERVICES LTD|87532390|79296463|x|2022-02-15
BUGNION S.p.A. |AEB INDUSTRIALE S.R.L.|VIO|VIO|VIO SECURITY LLC|79187459|90079204|x|2022-02-15
BUGNION S.p.A. |AEB INDUSTRIALE S.R.L.|VIO|VIO SECURITY|VIO SECURITY LLC|79187459|90081522|x|2022-02-15
BUGNION S.p.A. |AEB INDUSTRIALE S.R.L.|VIO|VIO SMART SECURITY|VIO SECURITY LLC|79187459|90081429|x|2022-02-15
LAZOUSKI IP LLC |Aero Engine Corporation of China|AECC|AECC CAE|AECC COMMERCIAL AIRCRAFT ENGINE CO. LTD.|88806934|79311325|x|2022-02-15
AFFLUENCE ENTERPRISES |Affluence Enterprises|KHAOS CLOTHING|KARDASHIAN KHAOS|Kimsaprincess Inc.|77724552|85422774|x|2022-02-15
